ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
179,62,33.556,12.863,6.137,0.692,13.928,6.626,2.096,0.477,0.832,0
180,135,93.296,18.523,9.28,0.195,30.265,16.587,1.996,0.501,0.387,0
181,537,206.593,27.092,25.238,0.158,44.553,33.6,1.073,0.932,0.484,0
182,49,30.627,9.804,6.364,0.656,11.705,7.0,1.541,0.649,0.817,0
183,202,62.184,20.886,12.314,0.656,23.601,14.484,1.696,0.59,0.847,1
185,383,116.61,27.934,17.457,0.354,35.384,21.366,1.6,0.625,0.769,0
186,167,54.184,19.325,11.003,0.715,21.095,12.338,1.756,0.569,0.865,1
187,143,65.255,17.91,10.166,0.422,21.213,14.45,1.762,0.568,0.603,0
189,62,38.87,13.771,5.733,0.516,15.264,8.055,2.402,0.416,0.678,0
190,264,76.083,25.944,12.956,0.573,29.53,16.128,2.002,0.499,0.809,0
195,128,51.355,18.929,8.61,0.61,20.518,9.707,2.198,0.455,0.813,1
196,326,98.711,29.26,14.186,0.42,32.202,17.87,2.063,0.485,0.805,0
197,212,57.698,20.99,12.86,0.8,21.587,13.0,1.632,0.613,0.895,0
198,123,50.426,16.516,9.482,0.608,18.439,11.811,1.742,0.574,0.776,1
199,117,45.698,16.493,9.032,0.704,18.028,10.066,1.826,0.548,0.873,1
200,133,53.113,17.945,9.437,0.592,19.723,12.025,1.902,0.526,0.758,1
201,114,50.77,15.555,9.331,0.556,17.889,11.615,1.667,0.6,0.717,1
202,131,55.012,19.295,8.645,0.544,21.541,10.733,2.232,0.448,0.773,1
205,74,34.042,11.347,8.304,0.802,12.207,8.944,1.367,0.732,0.876,0
206,131,56.77,19.499,8.554,0.511,22.804,9.864,2.28,0.439,0.792,1
207,90,37.113,14.319,8.003,0.821,15.0,8.485,1.789,0.559,0.882,1
208,97,38.284,13.309,9.28,0.832,13.892,9.899,1.434,0.697,0.882,1
209,136,58.184,20.144,8.596,0.505,23.259,10.118,2.343,0.427,0.81,1
210,113,41.698,15.944,9.024,0.817,17.0,9.899,1.767,0.566,0.897,1
215,131,51.113,16.645,10.021,0.63,19.416,11.18,1.661,0.602,0.851,1
216,93,36.627,13.597,8.709,0.871,14.56,9.0,1.561,0.64,0.907,1
217,89,38.87,12.663,8.949,0.74,13.153,9.0,1.415,0.707,0.877,1
218,551,204.794,40.496,17.324,0.165,60.828,28.528,2.338,0.428,0.414,0
219,114,48.77,15.198,9.551,0.602,16.763,10.661,1.591,0.628,0.823,1
220,40,24.142,7.943,6.412,0.862,9.434,7.0,1.239,0.807,0.86,0
221,87,34.87,12.778,8.669,0.899,13.454,9.192,1.474,0.678,0.888,1
222,212,81.983,22.876,11.799,0.396,27.074,14.4,1.939,0.516,0.689,0
224,284,116.953,39.735,9.1,0.261,47.634,12.88,4.366,0.229,0.64,0
225,118,51.355,16.857,8.913,0.562,19.416,12.0,1.891,0.529,0.756,1
226,120,42.627,15.792,9.675,0.83,16.643,9.923,1.632,0.613,0.92,1
227,225,67.497,23.56,12.159,0.621,24.207,14.484,1.938,0.516,0.804,0
230,57,28.627,8.672,8.369,0.874,9.899,8.944,1.036,0.965,0.857,0
231,447,131.196,36.565,15.565,0.326,44.407,18.221,2.349,0.426,0.722,0
