ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
7393,214,58.87,22.73,11.99,0.78,23.26,12.97,1.9,0
913,182,55.698,17.89,12.953,0.737,19.849,15.0,1.381,0
7682,169,51.7,18.17,11.84,0.79,18.97,12.5,1.53,0
8675,226,62.77,22.54,12.77,0.72,22.8,13.51,1.77,0
9086,198,55.6,21.15,11.92,0.8,21.63,12.73,1.77,0
1550,107,39.113,15.185,8.972,0.879,16.125,9.192,1.693,0
7213,209,61.6,22.08,12.05,0.69,22.67,12.77,1.83,0
8198,149,46.63,16.81,11.28,0.86,17.8,12.0,1.49,0
2732,176,53.941,18.637,12.024,0.76,21.401,13.435,1.55,0
6521,179,53.21,20.51,11.11,0.79,20.62,11.0,1.85,0
37,124,42.527,14.559,10.844,0.862,15.297,11.18,1.343,0
1242,114,39.799,15.524,9.35,0.904,15.811,9.0,1.66,0
8609,215,60.28,21.99,12.45,0.74,23.41,12.5,1.77,0
4902,170,56.77,19.38,11.17,0.66,21.4,13.78,1.74,0
2201,434,100.811,36.876,14.985,0.537,41.725,17.499,2.461,0
477,183,51.698,19.85,11.738,0.86,20.616,12.649,1.691,0
1619,132,43.213,16.39,10.254,0.888,16.492,10.0,1.598,0
2571,171,67.598,25.654,8.487,0.47,28.231,10.521,3.023,0
2526,221,61.355,23.468,11.99,0.738,25.0,13.656,1.957,0
510,201,55.355,21.251,12.043,0.824,22.136,12.944,1.765,0
1341,126,42.87,16.405,9.779,0.862,17.088,10.585,1.677,0
60,150,46.87,17.152,11.135,0.858,18.358,12.127,1.54,0
4571,165,54.77,19.11,10.99,0.69,21.47,12.85,1.74,0
1111,109,38.87,14.778,9.391,0.907,15.524,10.0,1.574,0
3277,225,63.355,22.622,12.664,0.704,24.083,14.837,1.786,0
7196,191,54.77,20.54,11.84,0.8,21.63,13.0,1.73,0
8413,215,60.18,22.51,12.16,0.75,23.6,14.14,1.85,0
1799,128,42.042,15.926,10.233,0.91,16.492,10.0,1.556,0
8976,248,62.18,22.75,13.88,0.81,23.43,15.43,1.64,0
26,176,52.527,20.033,11.186,0.802,20.248,12.075,1.791,0
4051,108,41.7,12.4,11.09,0.78,14.76,12.0,1.12,0
6462,168,56.28,19.89,10.75,0.67,22.47,11.5,1.85,0
6730,205,65.84,19.63,13.29,0.59,21.19,16.55,1.48,0
1718,200,54.284,20.157,12.633,0.853,20.396,13.0,1.596,0
1451,112,39.213,13.982,10.199,0.915,15.0,11.0,1.371,0
6671,257,67.11,26.56,12.32,0.72,26.57,13.78,2.16,0
1946,127,41.456,15.325,10.551,0.929,15.811,11.0,1.452,0
52,144,46.284,16.783,10.925,0.845,17.804,11.884,1.536,0
