,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
6974,212,87.74,26.495,10.188,0.346,31.257,14.735,2.601,0.385,0.582,1
5544,231,101.255,39.411,7.463,0.283,44.147,12.064,5.281,0.189,0.675,1
10196,198,103.882,36.533,6.901,0.231,43.932,11.314,5.294,0.189,0.511,1
10456,71,30.385,11.441,7.902,0.966,11.705,8.0,1.448,0.691,0.928,0
5046,156,49.113,16.737,11.867,0.813,17.464,12.965,1.41,0.709,0.891,0
1756,135,43.113,16.71,10.286,0.913,17.464,11.18,1.625,0.616,0.925,0
5361,134,63.598,24.343,7.009,0.416,26.926,10.231,3.473,0.288,0.682,1
811,92,36.042,13.988,8.374,0.89,14.765,9.171,1.67,0.599,0.902,0
1155,100,38.284,14.848,8.575,0.857,15.0,9.192,1.731,0.578,0.897,0
1605,189,74.527,28.89,8.33,0.428,32.016,11.375,3.468,0.288,0.767,1
5568,303,97.054,24.313,15.867,0.404,30.017,21.078,1.532,0.653,0.679,-1
10562,91,35.456,13.043,8.883,0.91,13.601,9.803,1.468,0.681,0.91,0
3517,69,35.456,10.385,8.46,0.69,11.402,9.701,1.228,0.815,0.812,-1
1788,112,38.627,14.22,10.028,0.943,14.866,10.0,1.418,0.705,0.929,0
9533,265,116.51,31.592,10.68,0.245,43.829,17.404,2.958,0.338,0.491,1
6391,184,80.569,29.744,7.876,0.356,32.573,12.127,3.776,0.265,0.628,1
10434,83,34.042,12.09,8.741,0.9,12.649,9.806,1.383,0.723,0.878,0
4531,198,55.941,20.89,12.068,0.795,21.954,12.969,1.731,0.578,0.919,0
4110,122,40.87,14.826,10.478,0.918,15.524,11.0,1.415,0.707,0.914,0
4346,219,81.255,24.336,11.458,0.417,28.792,15.541,2.124,0.471,0.651,1
539,106,40.042,16.197,8.333,0.831,16.155,8.854,1.944,0.514,0.902,0
4384,202,86.569,30.743,8.366,0.339,34.132,11.691,3.675,0.272,0.603,1
4749,107,37.456,13.557,10.049,0.958,14.318,10.733,1.349,0.741,0.918,0
8068,103,38.627,15.32,8.56,0.867,16.125,9.391,1.79,0.559,0.916,0
2843,247,111.681,49.719,6.325,0.249,50.804,10.087,7.86,0.127,0.608,1
6345,95,34.627,12.753,9.485,0.996,13.416,10.0,1.345,0.744,0.931,0
9721,238,87.054,35.561,8.521,0.395,37.537,11.931,4.173,0.24,0.73,1
3529,150,70.083,26.919,7.095,0.384,30.0,10.034,3.794,0.264,0.698,1
8026,78,32.385,10.745,9.243,0.935,11.662,9.839,1.162,0.86,0.918,0
10095,125,43.941,16.083,9.896,0.814,16.553,10.695,1.625,0.615,0.874,0
9738,131,42.042,16.138,10.336,0.931,17.205,11.18,1.561,0.64,0.942,0
1403,136,43.456,16.603,10.43,0.905,17.493,11.18,1.592,0.628,0.928,0
3101,144,64.669,25.613,7.158,0.433,28.018,9.899,3.578,0.279,0.711,1
4464,165,68.527,27.676,7.591,0.442,29.155,10.119,3.646,0.274,0.757,1
551,102,37.799,14.735,8.814,0.897,15.232,9.0,1.672,0.598,0.936,0
6419,381,154.61,47.435,10.227,0.2,63.561,16.759,4.638,0.216,0.497,-1
3663,204,91.983,26.917,9.65,0.303,34.54,13.778,2.789,0.358,0.523,1
1722,116,39.799,14.376,10.274,0.92,14.866,10.0,1.399,0.715,0.947,0
8793,246,66.083,26.21,11.95,0.708,26.401,13.667,2.193,0.456,0.872,-1
9927,215,115.338,48.148,5.686,0.203,52.01,9.448,8.468,0.118,0.562,1
6182,413,165.681,31.086,16.916,0.189,51.971,34.527,1.838,0.544,0.388,-1
10475,259,111.64,36.633,9.002,0.261,45.607,13.745,4.069,0.246,0.536,-1
363,196,79.497,20.584,12.124,0.39,24.739,16.44,1.698,0.589,0.612,1
9158,121,41.113,15.545,9.911,0.9,16.155,10.733,1.568,0.638,0.9,0
7929,152,80.912,15.372,12.59,0.292,20.396,15.0,1.221,0.819,0.647,-1
8822,152,47.941,19.35,10.002,0.831,19.416,10.607,1.935,0.517,0.913,0
6907,121,44.042,17.259,8.927,0.784,18.682,9.0,1.933,0.517,0.91,0
3077,286,97.397,28.475,12.788,0.379,32.802,18.3,2.227,0.449,0.648,1
2686,147,61.113,23.611,7.927,0.495,25.962,10.355,2.979,0.336,0.756,1
3772,225,95.054,37.924,7.554,0.313,41.183,10.677,5.02,0.199,0.684,1
2617,102,37.456,13.379,9.707,0.914,14.318,10.0,1.378,0.726,0.915,0
3659,260,97.154,39.314,8.42,0.346,41.34,12.832,4.669,0.214,0.684,1
607,62,28.627,10.298,7.666,0.951,10.817,8.4,1.343,0.744,0.879,0
4095,97,35.456,13.088,9.436,0.97,13.601,9.899,1.387,0.721,0.919,0
6093,178,82.669,31.157,7.274,0.327,35.777,11.728,4.283,0.233,0.604,1
8946,114,38.627,14.478,10.025,0.96,15.264,10.733,1.444,0.692,0.938,0
6020,171,76.669,27.749,7.846,0.366,31.401,10.58,3.537,0.283,0.66,1
2655,60,43.355,15.753,4.85,0.401,17.493,7.741,3.248,0.308,0.612,-1
4615,161,64.083,24.482,8.373,0.493,27.203,11.314,2.924,0.342,0.754,1
9017,115,40.284,15.877,9.222,0.891,16.401,9.899,1.722,0.581,0.913,0
477,51,24.971,8.201,7.917,1.0,8.944,8.0,1.036,0.965,0.919,0
5841,164,77.841,30.046,6.95,0.34,33.242,10.733,4.323,0.231,0.625,1
2197,100,36.627,13.134,9.694,0.937,13.601,10.0,1.355,0.738,0.922,0
678,107,40.042,16.166,8.427,0.839,16.553,8.944,1.918,0.521,0.915,0
5018,169,49.698,15.974,13.471,0.86,17.493,14.285,1.186,0.843,0.887,0
8205,177,87.296,38.253,5.891,0.292,39.699,8.767,6.493,0.154,0.667,1
5432,180,71.154,29.908,7.663,0.447,30.232,10.6,3.903,0.256,0.709,1
2449,219,92.468,36.191,7.705,0.322,39.623,11.302,4.697,0.213,0.597,1
2994,172,79.397,28.199,7.766,0.343,31.385,11.142,3.631,0.275,0.574,1
2038,93,34.627,12.893,9.184,0.975,13.601,9.0,1.404,0.712,0.93,0
6860,245,98.912,30.465,10.24,0.315,38.601,15.447,2.975,0.336,0.6,1
6077,128,54.77,19.498,8.359,0.536,22.472,9.899,2.333,0.429,0.776,1
5067,161,48.042,16.928,12.11,0.877,17.889,12.0,1.398,0.715,0.942,0
3856,274,111.397,33.164,10.519,0.277,42.19,15.774,3.153,0.317,0.551,1
1424,131,43.213,17.199,9.698,0.882,17.889,10.0,1.773,0.564,0.946,0
239,120,41.698,16.188,9.438,0.867,16.643,9.899,1.715,0.583,0.913,0
5384,180,64.083,24.172,9.481,0.551,25.239,12.021,2.55,0.392,0.764,1
