ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
314,267,107.154,40.03,8.493,0.292,42.953,11.752,4.713,0.212,0.624,1
316,109,38.87,14.624,9.49,0.907,15.232,10.286,1.541,0.649,0.916,0
317,226,86.326,33.044,8.708,0.381,33.956,11.695,3.795,0.264,0.658,1
318,159,51.941,19.836,10.206,0.741,20.809,12.021,1.944,0.515,0.866,1
319,256,110.468,26.424,12.335,0.264,36.797,19.28,2.142,0.467,0.541,1
320,310,130.811,46.635,8.464,0.228,50.0,17.19,5.51,0.181,0.479,1
321,208,89.012,34.761,7.619,0.33,37.336,10.904,4.563,0.219,0.651,1
322,124,42.042,15.968,9.887,0.882,16.643,10.733,1.615,0.619,0.922,0
323,202,73.598,28.528,9.016,0.469,28.443,11.0,3.164,0.316,0.747,1
324,52,26.971,10.015,6.611,0.898,10.44,7.0,1.515,0.66,0.889,0
325,261,106.125,33.871,9.811,0.291,40.608,16.279,3.452,0.29,0.534,1
326,72,30.385,10.037,9.134,0.98,10.817,9.0,1.099,0.91,0.923,0
327,135,47.113,17.96,9.57,0.764,18.682,10.286,1.877,0.533,0.879,0
328,75,30.385,10.357,9.221,1.0,11.18,9.0,1.123,0.89,0.943,0
329,108,39.698,15.516,8.862,0.861,15.811,9.192,1.751,0.571,0.904,0
330,181,76.77,30.513,7.553,0.386,31.321,10.14,4.04,0.248,0.679,1
331,200,74.77,28.156,9.044,0.45,31.145,11.0,3.113,0.321,0.766,1
332,238,100.711,32.478,9.33,0.295,37.736,12.762,3.481,0.287,0.585,1
333,226,100.953,24.898,11.557,0.279,35.228,17.718,2.154,0.464,0.539,1
334,204,68.527,28.093,9.246,0.546,27.893,11.264,3.038,0.329,0.824,1
335,141,62.669,23.366,7.683,0.451,23.854,9.839,3.041,0.329,0.701,1
336,164,59.598,23.297,8.963,0.58,25.612,10.815,2.599,0.385,0.812,1
337,148,55.355,20.491,9.196,0.607,22.472,10.733,2.228,0.449,0.809,1
338,135,50.527,19.682,8.733,0.665,21.024,10.286,2.254,0.444,0.846,1
339,142,55.012,21.658,8.348,0.59,22.804,10.4,2.594,0.385,0.782,1
340,128,44.87,16.91,9.638,0.799,17.464,11.0,1.754,0.57,0.88,0
341,161,62.669,23.313,8.793,0.515,24.739,11.693,2.651,0.377,0.744,1
342,194,70.77,21.759,11.352,0.487,25.495,14.92,1.917,0.522,0.711,1
343,144,49.941,17.825,10.286,0.726,19.416,12.017,1.733,0.577,0.847,0
